"Label (Grouping)","Gini Index"
"Warren, PA Micro Area",""
"    Estimate","0.4200"
"Warrensburg, MO Micro Area",""
"    Estimate","0.3989"
"Warsaw, IN Micro Area",""
"    Estimate","0.4134"
"Washington, IN Micro Area",""
"    Estimate","0.4162"
"Washington, NC Micro Area",""
"    Estimate","0.4701"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",""
"    Estimate","0.4472"
"Washington Court House, OH Micro Area",""
"    Estimate","0.4405"
"Waterloo-Cedar Falls, IA Metro Area",""
"    Estimate","0.4514"
"Watertown, SD Micro Area",""
"    Estimate","0.4237"
"Watertown-Fort Atkinson, WI Micro Area",""
"    Estimate","0.4015"
"Watertown-Fort Drum, NY Metro Area",""
"    Estimate","0.4316"
"Wauchula, FL Micro Area",""
"    Estimate","0.5160"
"Wausau-Weston, WI Metro Area",""
"    Estimate","0.4242"
"Waycross, GA Micro Area",""
"    Estimate","0.4614"
"Weatherford, OK Micro Area",""
"    Estimate","0.4833"
"Weirton-Steubenville, WV-OH Metro Area",""
"    Estimate","0.4496"
"Wenatchee, WA Metro Area",""
"    Estimate","0.4521"
"West Plains, MO Micro Area",""
"    Estimate","0.4652"
"West Point, MS Micro Area",""
"    Estimate","0.5131"
"Wheeling, WV-OH Metro Area",""
"    Estimate","0.4731"
"Whitewater, WI Micro Area",""
"    Estimate","0.4389"
"Wichita, KS Metro Area",""
"    Estimate","0.4511"
"Wichita Falls, TX Metro Area",""
"    Estimate","0.4554"
"Williamsport, PA Metro Area",""
"    Estimate","0.4308"
"Williston, ND Micro Area",""
"    Estimate","0.4431"
"Willmar, MN Micro Area",""
"    Estimate","0.4175"
"Wilmington, NC Metro Area",""
"    Estimate","0.4764"
"Wilmington, OH Micro Area",""
"    Estimate","0.4379"
"Wilson, NC Micro Area",""
"    Estimate","0.4757"
"Winchester, VA-WV Metro Area",""
"    Estimate","0.4275"
"Winfield, KS Micro Area",""
"    Estimate","0.4581"
"Winnemucca, NV Micro Area",""
"    Estimate","0.4518"
"Winona, MN Micro Area",""
"    Estimate","0.4347"
"Winston-Salem, NC Metro Area",""
"    Estimate","0.4660"
"Wisconsin Rapids-Marshfield, WI Micro Area",""
"    Estimate","0.4442"
"Woodward, OK Micro Area",""
"    Estimate","0.4374"
"Wooster, OH Micro Area",""
"    Estimate","0.4125"
"Worcester, MA-CT Metro Area",""
"    Estimate","0.4530"
"Worthington, MN Micro Area",""
"    Estimate","0.4187"
"Yakima, WA Metro Area",""
"    Estimate","0.4216"
"Yankton, SD Micro Area",""
"    Estimate","0.4272"
"Yauco, PR Metro Area",""
"    Estimate","0.4826"
"York-Hanover, PA Metro Area",""
"    Estimate","0.4168"
"Youngstown-Warren-Boardman, OH-PA Metro Area",""
"    Estimate","0.4582"
"Yuba City, CA Metro Area",""
"    Estimate","0.4524"
"Yuma, AZ Metro Area",""
"    Estimate","0.4574"
"Zanesville, OH Micro Area",""
"    Estimate","0.4588"
"Zapata, TX Micro Area",""
"    Estimate","0.5195"
