state,state_code,state_abbreviation,capital,lat_centroid,lon_centroid,neighboring_states,federal_region,census_region,census_division,population_2019,population_2010,percentage_us_population,house_representatives_2019,democrat_1972,democrat_1976,democrat_1980,democrat_1984,democrat_1988,democrat_1992,democrat_1996,democrat_2000,democrat_2004,democrat_2008,democrat_2012,democrat_2016,democrat_state,below poverty,unemployed,per capita income,no high school diploma,ep_age65,ep_age17,ep_disabl,single parent household,minority non-white non-hispanic,speak eng less than well,housing in 10plus units,mobile homes,housing with more ppl than rooms,no vehicle,group quarters,percentile pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,socioeconomic theme percentile,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,household composition theme percentile,epl_minrty,epl_limeng,spl_theme3,minority theme percentile,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,household transport percentile,spl_themes,rpl_themes,ep_uninsur,extraversion,agreeableness,conscientiousness,neuroticism,openness,density_2015,population_2015,homicide rate (2017),gdp per capita (2017),high school or higher,bachelor or higher,advanced degree,stress score,work-related stress rank,money-related stress rank,family-related stress rank,health- & safety-related stress rank,political engagement score,fun score,entertainment & recreation rank,nightlife rank,fraud score,identity theft rank,fraud rank,policy rank,financial literacy score,walletliteracy rank,financial planning & habits rank,financial knowledge & education rank,termperature,age-adjusted death rate (suicide),marriage rate,sexual satisfaction,romantic communication,openness to love,gift spend,overall happiness,opm,mdi,diff,employment change (2013),vacancy rate (2013),unemployment rate (2013),median family income (2013),economic health index (2013),income segregation (2013),% 16-19 not in school (2013),rent burden (2013),working poor (2013),economic inclusion index (2013),racial segregation (2013),homeowner gap (2013),education gap (2013),poverty gap (2013),percent person of color (2013),racial inclusion index (2013),overall inclusion index (2013),happiness,gini-coefficient,firearm death rate,cultural tightness,charity score,volunteering & service rank,charitable giving rank,"correctional supervision rate per 100,000 ages 18 or older/b","correctional supervision rate per 100,000 u.s. residents of all ages/b","community supervision rate per 100,000 u.s. residents ages 18 or older","community supervision rate per 100,000 u.s. residents of all ages/b","incarceration rate per 100,000 u.s. residents ages 18 or older","incarceration rate per 100,000 u.s. residents of all ages",health_insurance_Employer,health_insurance_Non-Group,health_insurance_Medicaid,health_insurance_Medicare,health_insurance_Military,health_insurance_Uninsured
Maryland,MD,Md,Annapolis,39.063946,-76.802101,DC;DE;PA;VA;WV,3,3,5,6045680,5773552,0.0183,8,0,1,1,0,0,1,1,1,1,1,1,1,1,11.27916667,6.695833333,33756.625,10.89166667,15.9875,21.76666667,12.40833333,8.9625,31.42083333,1.745833333,10.59583333,3.429166667,1.516666667,7.666666667,3.625,0.254533333,0.467791667,0.187266667,0.3492125,1.258791667,0.2853,0.361795833,0.449475,0.267633333,0.549375,1.628270833,0.2602625,0.653545833,0.617308333,1.270854167,0.656566667,0.786675,0.149125,0.341379167,0.560258333,0.4872625,2.3247,0.4369,6.482629167,0.355370833,7.204166667,35.2,37.3,37.5,49.4,56.6,238,6006401,9,54894,0.898,0.39,0.18,38.67,6,41,30,48,59.56,39.8,16,27,59.6,7,19,51,65.68,14,15,6,54.2,9.4,6.3,0.06,4,2.91,64,620,9.3,14.2,4.9,0.058171507,0.178645685,0.130676135,51032,-1.047,0.142,7.38,45.97,2.3,-0.352,62.072,19.02,8.19,14.44,71.92,-0.041,-0.179,62.1,0.4499,11.9,45.5,74.14,3,4,2120,1640,1770,1370,610,470,0.56,0.05,0.19,0.13,0.02,0.06
Massachusetts,MA,Mass,Boston,42.230171,-71.530106,CT;NH;NY;RI;VT,1,1,1,6949503,6547629,0.0209,9,1,1,0,0,1,1,1,1,1,1,1,1,1,11.55714286,6.607142857,36664.42857,9.085714286,16.69285714,19.67857143,11.91428571,8.092857143,21.55714286,3.414285714,10.71428571,1.135714286,1.685714286,10.32857143,3.885714286,0.25615,0.473407143,0.07525,0.2425,1.047335714,0.221471429,0.4095,0.236892857,0.221471429,0.444128571,1.311985714,0.173107143,0.561064286,0.789242857,1.350292857,0.703792857,0.772478571,0.041507143,0.382928571,0.754592857,0.649264286,2.60075,0.566228571,6.310357143,0.330792857,3.642857143,44.4,40.7,32.2,63.8,59.6,336,6794422,2.5,64507,0.903,0.421,0.187,32.39,50,40,40,46,54.19,39.95,21,22,53.34,16,48,5,59.52,35,4,38,47.9,8.8,5.8,0.04,4,2.87,67,63,10.5,11.6,1.2,0.098911573,0.079502317,0.098623539,61017.66667,-0.063166667,0.102,4.498333333,43.72666667,2.211666667,0.308833333,33.02916667,26.93333333,15.07333333,15.35166667,47.33,-0.255333333,-0.004666667,63,0.4786,3.4,35.12,61.24,46,13,1520,1210,1170,930,360,280,0.55,0.06,0.23,0.13,0.01,0.03
Michigan,MI,Mich,Lansing,43.326618,-84.536095,IN;OH;WI,5,2,3,9986857,9883640,0.0302,14,0,0,0,0,0,1,1,1,1,1,1,0,1,16.34216867,8.707228916,24387.87952,10.28554217,19.70963855,20.44337349,16.7253012,7.869879518,11.69638554,0.636144578,4.537349398,8.860240964,1.659036145,6.607228916,3.308433735,0.524368675,0.682607229,0.523121687,0.321210843,2.051308434,0.523275904,0.606098795,0.321161446,0.57116506,0.424356627,1.922766265,0.463657831,0.340980723,0.377362651,0.718357831,0.337836145,0.550012048,0.390126506,0.396646988,0.564071084,0.490079518,2.390950602,0.448716868,7.083378313,0.440336145,9.359036145,55.2,54.7,53,48.6,43.4,67,9922576,5.7,42631,0.902,0.281,0.11,44.94,25,29,18,10,36.08,40.82,20,20,61.71,10,13,41,62.58,22,8,20,44.4,13.3,5.9,0.05,4,2.89,58,614,14.2,16.3,2.1,-0.126115986,0.120140166,0.126175144,56699.33333,-0.794111111,0.091222222,5.336666667,48.69111111,3.438888889,-0.117444444,33.57944444,24.44555556,4.593333333,7.918888889,37.49555556,0.212555556,0.065666667,61.5,0.4695,12.3,48.93,60.35,42,22,,,,,730,570,0.51,0.05,0.22,0.15,0.01,0.05
Minnesota,MN,Minn,Saint Paul,45.694454,-93.900192,IA;ND;SD;WI,5,2,4,5639632,5303925,0.017,8,0,1,1,1,1,1,1,1,1,1,1,1,1,11.25287356,4.398850575,28533.75862,8.703448276,18.3954023,23.07011494,12.36436782,7.940229885,10.71149425,1.071264368,7.997701149,5.629885058,1.662068966,5.672413793,2.608045977,0.240754023,0.208764368,0.263768966,0.217935632,0.931205747,0.189113793,0.566609195,0.560610345,0.24726092,0.429539081,1.804021839,0.371813793,0.328302299,0.450431035,0.778729885,0.373773563,0.781471264,0.24262069,0.388205747,0.444078161,0.500374713,2.356762069,0.431447126,5.870725287,0.256357471,6.432183908,52.9,61.6,52.5,43.4,38.5,26,5489594,2,53380,0.928,0.348,0.118,26.81,42,50,47,50,50.96,49.03,6,12,55.62,19,28,5,65.72,5,6,9,41.2,13.2,5.6,0.03,4,2.85,49,632,9.5,9,-0.5,0.115258308,0.059741841,0.069724808,69968.25,0.4125,0.14675,3.5,42.74,2.4025,0.17025,35.29925,33.195,19.665,21.8375,29.6975,-0.953,-0.454,63.2,0.4496,7.6,47.84,72.83,9,3,2810,2160,2450,1880,380,290,0.57,0.06,0.18,0.14,0.01,0.04
Mississippi,MS,Miss,Jackson,32.741646,-89.678696,AL;AR;LA;TN,4,3,6,2976149,2967297,0.009,4,0,1,0,0,0,0,0,0,0,0,0,0,0,25.56707317,11.05731707,19353.09756,20.7402439,15.44268293,24.12073171,18.16707317,12.01097561,45.4,0.613414634,2.514634146,20.08292683,2.962195122,7.97195122,3.753658537,0.83475122,0.79712439,0.817447561,0.78715122,3.236468293,0.850037805,0.33927439,0.68230122,0.675429268,0.804258537,2.501253659,0.790802439,0.800040244,0.3329,1.132943902,0.577269512,0.33537561,0.731053659,0.689285366,0.642148781,0.486926829,2.884778049,0.654865854,9.75545122,0.821457317,15.15731707,56.8,63.3,59.7,52,46.2,24,2992333,8.2,31633,0.834,0.213,0.08,58.71,5,1,6,5,32.2,16.56,49,44,48.91,34,18,18,54.58,30,51,39,63.4,12.7,7,0.05,4,2.78,46,613,19.8,19.8,0.1,-0.079207026,0.162832633,0.121247508,39196,-1.187,0.127,6.36,53.81,5.99,-1.055,59.448,26.03,11.81,21.71,82.58,-0.415,-0.699,61.3,0.4828,19.9,78.86,60.6,41,24,2880,2180,1660,1260,1260,960,0.43,0.05,0.23,0.14,0.02,0.12
Missouri,MO,Mo,Jefferson City,38.456085,-92.288368,AR;IA;IL;KS;KY;NE;OK;TN,7,2,4,6137428,5988927,0.0185,8,0,1,0,0,0,1,1,0,0,0,0,0,0,17.80434783,6.752173913,22047.10435,14.52521739,18.19217391,22.88695652,17.81391304,8.335652174,9.280869565,0.566956522,3.073043478,12.20173913,2.029565217,6.33826087,3.436521739,0.59390087,0.472818261,0.673822609,0.547033913,2.287576522,0.590951304,0.550138261,0.553065217,0.630716522,0.481036522,2.214958261,0.626210435,0.269684348,0.306984348,0.576673044,0.261912174,0.399437391,0.507573044,0.485493913,0.516661739,0.507088696,2.416253913,0.45934,7.495458261,0.503824348,13.35652174,62.9,59.3,60.8,48.3,45.7,34,6083672,9.8,42943,0.892,0.282,0.107,43,28,24,35,11,50.22,44.29,13,15,51.04,32,27,1,60.25,47,47,4,54.5,18.4,6.9,0.05,4,2.88,45,617,13.4,13.4,0,0.093184159,0.116703992,0.083405218,56241,-0.2238,0.134,4.678,44.97,3.094,-0.09,35.7142,22.348,11.658,15.906,32.064,-0.2464,-0.1768,61.8,0.4646,19,59.6,65.16,27,15,2240,1730,1300,1010,940,730,0.52,0.06,0.15,0.16,0.01,0.09
Montana,MT,Mont,Helena,46.921925,-110.454353,ID;ND;SD;WY,8,4,8,1068778,989415,0.0032,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.29464286,5.083928571,25891.98214,8.567857143,19.94464286,21.65892857,14.92678571,6.330357143,13.09464286,0.226785714,3.016071429,13.41428571,2.042857143,4.769642857,2.975,0.451121429,0.302930357,0.418158929,0.213842857,1.386064286,0.325192857,0.659385714,0.391455357,0.443135714,0.285228571,1.779183929,0.3670875,0.3258,0.171721429,0.497521429,0.219833929,0.418571429,0.5695125,0.421767857,0.316189286,0.474716071,2.200767857,0.3945125,5.863541071,0.280741071,14.7625,33.1,52.3,56.1,43,55,2,1032949,3.9,39686,0.93,0.307,0.101,36.88,47,31,39,28,55.7,30.49,42,17,42.72,41,42,27,60.51,2,28,37,42.7,25.9,7.8,0.04,5,2.88,56,632,12.5,10.8,-1.6,0.221597895,0.051653773,0.039386932,66212,0.752,0.08,6.49,37.35,2.29,0.46,25.986,28.29,10.33,12.37,13.83,-0.29,0.043,63.4,0.4667,18.9,46.11,58.65,39,38,1860,1460,1250,970,700,550,0.44,0.07,0.21,0.17,0.02,0.08
Nebraska,NE,Nebr,Lincoln,41.12537,-98.268082,CO;IA;KS;MO;SD;WY,7,2,4,1934408,1826341,0.0058,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67526882,3.161290323,26914.74194,8.669892473,20.33763441,23.06451613,13.33548387,6.41827957,10.13763441,1.425806452,3.503225807,6.686021505,1.44516129,4.105376344,2.637634409,0.256254839,0.117665591,0.335755914,0.212974194,0.922644086,0.185191398,0.682390323,0.549936559,0.318204301,0.265831183,1.81635914,0.379034409,0.275112903,0.407675269,0.682791398,0.327316129,0.452254839,0.293005376,0.294570968,0.25933871,0.447669893,1.746845161,0.217725807,5.168631183,0.183767742,9.838709677,60,62.9,64.3,41.6,34.3,9,1896190,2.2,52878,0.909,0.306,0.102,39.9,39,36,8,39,51.01,29.47,41,25,54.87,11,51,18,62.06,16,16,24,48.8,13.1,6.5,0.03,4,2.91,51,629,10.8,9.4,-1.4,0.137340881,0.060598802,0.058059372,65395,0.459,0.1595,2.86,40.195,3.08,0.161,41.389,28.4,22.38,17.365,25.36,-0.881,-0.418,62.9,0.4477,9.1,49.65,65.07,13,33,1620,1220,1010,760,610,460,0.55,0.07,0.13,0.14,0.02,0.08
Nevada,NV,Nev,Carson City,38.313515,-117.055374,AZ;CA;ID;OR;UT,9,4,8,3080156,2700551,0.0092,4,0,0,0,0,0,1,1,0,0,1,1,1,1,13.80588235,8.558823529,27107.47059,13.41764706,18.36470588,21.41764706,17.28823529,7.952941177,27.14705882,2.505882353,4.923529412,22.44705882,3.158823529,4.876470588,4.288235294,0.382964706,0.641088235,0.367058824,0.498529412,1.889629412,0.477176471,0.515247059,0.390652941,0.582747059,0.463017647,1.951676471,0.464382353,0.6311,0.703276471,1.334376471,0.700176471,0.4987,0.706894118,0.647905882,0.366952941,0.385394118,2.605841177,0.556582353,7.781529412,0.569535294,14.99411765,46.4,31.8,55.8,44,61.3,10,2890845,2.3,43649,0.858,0.237,0.081,51.06,38,20,1,9,44.42,49.25,15,1,72.66,2,5,27,57.79,42,11,35,49.9,21.4,28.4,0.06,3,3.01,112,618,13,13,0,0.502011336,0.092845457,0.101153968,62500.25,0.27325,0.121,4.79,41.8275,2.5925,0.18175,27.889,16.1375,18.1275,10.22,48.735,0.21975,0.20275,61.8,0.4577,16.8,33.61,56.09,44,45,1720,1320,830,640,890,680,0.48,0.05,0.19,0.14,0.02,0.11
New Hampshire,NH,N.H.,Concord,43.452492,-71.563896,MA;ME;VT,1,1,1,1359711,1316470,0.0041,2,0,0,0,0,0,1,1,0,1,1,1,1,1,9.77,5.14,32780.7,8,17.8,18.97,14.05,7.79,6.73,0.62,7.13,7.39,1.31,5.64,3.85,0.15333,0.27013,0.11907,0.16803,0.71058,0.1257,0.52114,0.15405,0.3693,0.40735,1.45182,0.1996,0.22143,0.39938,0.62077,0.27979,0.75471,0.33955,0.28427,0.45966,0.59005,2.42824,0.46765,5.21143,0.17057,9.59,40.2,53.5,38,61.8,48.7,57,1330608,1,50456,0.928,0.36,0.138,34.03,43,45,42,38,49.69,27.14,36,49,53.7,30,20,1,67.36,7,1,8,43.8,17.2,7,0.04,1,2.87,31,626,7.7,8.6,0.9,0.045373935,0.074908808,0.068730548,67566,0.231,0.101,3.93,42.01,1.89,0.499,27.514,21.76,14.97,13.61,19.97,-0.232,0.093,62.6,0.4304,9.3,36.97,67.7,4,29,1010,810,590,480,410,330,0.57,0.05,0.14,0.17,0.01,0.05
New Jersey,NJ,N.J.,Trenton,40.298904,-74.521011,DE;NY;PA,2,1,2,8882190,8791894,0.0269,12,0,0,0,0,0,1,1,1,1,1,1,1,1,10.6047619,8.019047619,37057.33333,11.01428571,15.25714286,22.27142857,11.07142857,8.552380952,37.04761905,5.104761905,12.85238095,1.414285714,2.647619048,10.04761905,2.40952381,0.231671429,0.625980952,0.093919048,0.351966667,1.303547619,0.299461905,0.306171429,0.475109524,0.166290476,0.481133333,1.428690476,0.220004762,0.730690476,0.846233333,1.576933333,0.818642857,0.884871429,0.056380952,0.530590476,0.692704762,0.482190476,2.646752381,0.55812381,6.955909524,0.425142857,9.757142857,59.9,44.6,40.8,56.4,57.6,470,8958013,3.6,56472,0.892,0.381,0.147,39.6,7,42,43,26,37.61,31.49,32,38,68.52,1,25,5,66.79,10,13,5,52.7,7.2,5.7,0.05,2,2.86,67,625,10,11.9,2,0.155643923,0.144487026,0.143713024,42556.66667,-0.974333333,0.0635,7.235,50.175,4.941666667,-0.469166667,37.62183333,17.97666667,5.82,7.776666667,87.85333333,0.783166667,0.226833333,62.5,0.4813,5.5,39.48,62.65,31,27,2670,2080,2230,1740,460,360,0.57,0.06,0.17,0.13,<.01,0.07
New Mexico,NM,N.M.,Santa Fe,34.840515,-106.248482,AZ;CO;OK;TX;UT,6,4,8,2096829,2059179,0.0063,3,0,0,0,0,0,1,1,1,0,1,1,1,1,21.53333333,8.078787879,22062.09091,16.81212121,18.95757576,22.65454545,19.00909091,9.357575758,57.83939394,3.836363636,2.784848485,23.87272727,3.142424242,5.921212121,3.254545455,0.74030303,0.589515152,0.684812121,0.638575758,2.65319697,0.694224242,0.543539394,0.516145455,0.679724242,0.600133333,2.339536364,0.693381818,0.897309091,0.789560606,1.686839394,0.876978788,0.380927273,0.781321212,0.636042424,0.478466667,0.504512121,2.781245455,0.623769697,9.460854546,0.769784849,13.78787879,32.4,45.4,58.5,51.6,62,6,2085109,7.1,41577,0.85,0.269,0.118,54.57,4,5,5,18,21.88,42.97,8,33,59.38,13,21,27,54.98,23,48,45,53.4,22.5,6.4,0.05,4,2.93,47,626,19.7,20.5,0.9,0.196548849,0.07117758,0.082341,59513,0.189,0.121,6.36,44.98,3.58,-0.279,31.699,10.47,14.51,11.58,59.08,0.465,0.134,62.6,0.4769,18.1,45.43,60.21,25,47,1900,1450,970,740,930,710,0.37,0.04,0.33,0.15,0.02,0.09
New York,NY,N.Y.,Albany,42.165726,-74.948051,CT;MA;NJ;PA;VT,2,1,2,19453561,19378102,0.0591,27,0,1,0,0,1,1,1,1,1,1,1,1,1,14.28225806,7.272580645,28935.69355,11.47903226,16.62419355,20.72741935,13.62903226,8.798387097,18.4016129,2.187096774,8.969354839,7.529032258,2.325806452,12.3516129,4.60483871,0.408798387,0.546854839,0.313112903,0.386483871,1.655254839,0.400908065,0.430232258,0.313696774,0.347066129,0.539008065,1.629990323,0.289043548,0.452898387,0.575217742,1.028117742,0.511070968,0.672872581,0.332809677,0.456222581,0.800337097,0.686198387,2.948417742,0.701883871,7.261777419,0.460858065,7.482258065,47,29.8,37.7,62.7,64.5,162,19795791,2.8,64093,0.861,0.353,0.154,44.24,10,16,27,33,33.3,57.85,3,4,62.17,9,15,27,63.02,12,18,18,45.4,8.1,7.5,0.05,4,2.89,65,618,14.1,17.6,3.5,0.031129477,0.125322349,0.105761733,50508.83333,-0.588333333,0.135166667,5.428333333,47.85333333,3.591666667,-0.376333333,49.91983333,24.135,14.22833333,17.97833333,57.08166667,-0.404166667,-0.391833333,62,0.5229,4.4,39.42,66.91,33,6,1360,1070,910,720,480,380,0.49,0.06,0.26,0.13,<.01,0.05
North Carolina,NC,N.C.,Raleigh,35.630066,-79.806419,GA;SC;TN;VA,4,3,5,10488084,9535483,0.0314,13,0,1,0,0,0,0,0,0,0,1,0,0,0,18.989,9.334,23173.85,16.696,17.967,21.479,16.91,9.223,31.656,1.857,3.574,20.146,2.338,6.819,3.046,0.647675,0.732256,0.601621,0.647529,2.629078,0.688089,0.527228,0.398864,0.593815,0.575077,2.094981,0.557015,0.665526,0.665768,1.331301,0.69231,0.427188,0.726881,0.591655,0.566421,0.491803,2.80395,0.635089,8.859302,0.696902,14.245,51,63.6,68.4,44.8,49.6,79,10042802,5.8,44096,0.869,0.299,0.106,45.89,18,25,15,17,47.5,40.17,17,24,56.16,31,6,27,61.5,20,39,15,59,13,7,0.05,3,2.84,59,624,14.7,13.9,-0.8,0.338369142,0.098303867,0.097755353,58169.875,0.043375,0.154875,4.4325,42.25,3.32125,-0.11,44.312625,24.84625,14.70375,18.11125,51.84375,-0.404625,-0.27375,62.5,0.478,13.7,60.67,63.09,35,20,1890,1460,1210,930,680,530,0.47,0.06,0.18,0.15,0.03,0.11
North Dakota,ND,N.D.,Bismarck,47.528912,-99.784012,MN;MT;SD,8,2,4,762062,672591,0.0023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09245283,2.771698113,32847.64151,10.25283019,19.71886792,22.4509434,11.99433962,6.343396226,12.02264151,0.343396226,6.094339623,9.277358491,1.790566038,4.052830189,2.845283019,0.208220755,0.084362264,0.139711321,0.315271698,0.747571698,0.136913208,0.628188679,0.438626415,0.218996226,0.243586793,1.529401887,0.225796226,0.295724528,0.236388679,0.532118868,0.236835849,0.553003774,0.407124528,0.317092453,0.240056604,0.543141509,2.060409434,0.331496226,4.869501887,0.148792453,9.10754717,52.4,52.4,51.4,49.6,21.8,4,756927,1.3,67305,0.923,0.289,0.078,32.67,11,49,50,37,47.1,29.1,37,31,61.64,4,37,5,63.68,32,5,10,40.4,19,6,0.06,2,3.05,108,628,10.3,9,-1.3,0.266494781,0.056094363,0.038087696,69709,0.831,0.093,3.15,34.23,2,0.928,26.568,25.05,11.18,20.46,13.13,-0.495,0.137,63,0.4533,11.9,51.44,65.28,10,39,1770,1350,1230,940,540,410,0.57,0.08,0.12,0.13,0.02,0.08
Ohio,OH,Ohi,Columbus,40.388783,-82.764915,IN;KY;MI;PA;WV,5,2,3,11689100,11536504,0.0353,16,0,1,0,0,0,1,1,0,0,1,1,0,0,14.93295455,6.955681818,25190.28409,11.82727273,16.57045455,22.93977273,15.05,8.832954546,9.546590909,0.543181818,4.5875,8.386363636,1.389772727,6.997727273,2.947727273,0.445903409,0.505778409,0.470851136,0.396732955,1.819279546,0.452577273,0.432184091,0.550956818,0.452052273,0.562782955,1.997960227,0.500381818,0.285236364,0.352630682,0.637868182,0.293252273,0.576588636,0.351163636,0.307173864,0.583310227,0.491414773,2.309654546,0.412206818,6.764757955,0.393798864,8.969318182,54.6,45.9,46.5,58.5,46,109,11614373,6.1,46826,0.898,0.272,0.102,45.16,13,26,21,20,40.53,43.93,18,8,61.44,3,41,41,61.59,26,23,17,50.7,14.2,6,0.05,3,2.95,41,609,14,15.2,1.2,-0.118263343,0.159821988,0.132447047,42689.33333,-1.249333333,0.113111111,4.488888889,45.93333333,3.974444444,-0.124666667,45.98044444,24.94222222,7.398888889,17.85555556,43.17444444,-0.322222222,-0.234444444,61,0.468,12.9,52.3,65.7,18,25,3620,2810,2840,2200,790,610,0.52,0.05,0.21,0.15,0.01,0.06
Oklahoma,OK,Okla,Oklahoma City,35.565342,-96.928917,AR;CO;KS;MO;NM;TX,6,3,7,3956971,3751351,0.0119,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14545455,6.02987013,23327.68831,14.53376623,17.0961039,24.04935065,17.88441558,8.981818182,28.71168831,1.409090909,2.636363636,14.4012987,2.67012987,5.263636364,3.58961039,0.56034026,0.405455844,0.575018182,0.55837013,2.09918961,0.535396104,0.481611688,0.687557143,0.634596104,0.576032468,2.379783117,0.716750649,0.674398701,0.517274026,1.191668831,0.61178961,0.363661039,0.584537662,0.635162338,0.400063636,0.527920779,2.511338961,0.509233766,8.181993507,0.608998701,16.37532468,39.7,54.3,54.7,52.1,42.2,22,3911338,6.2,45864,0.875,0.248,0.083,49.48,22,17,17,6,34.62,37.36,27,21,55.09,15,44,5,55.45,41,46,34,59.6,21,6.7,0.06,5,2.87,42,605,15.8,14.2,-1.6,0.141043992,0.109279695,0.060771229,60624.33333,0.103333333,0.141,6.38,40.79,3.22,-0.172,30.636,20.69333333,13.32333333,13.84333333,37.76666667,-0.046,-0.102333333,60.8,0.4645,19.6,75.03,69.11,5,19,2510,1890,1190,900,1310,990,0.46,0.06,0.18,0.15,0.02,0.14
Oregon,OR,Ore,Salem,44.572021,-122.070938,CA;ID;NV;WA,10,4,9,4217737,3831074,0.0127,5,0,0,0,0,1,1,1,1,1,1,1,1,1,16.60277778,8.830555556,25212.63889,11.35555556,20.17777778,20.91944444,17.925,7.833333333,18.66111111,2.230555556,6.041666667,14.46388889,2.975,6.219444444,2.711111111,0.549683333,0.700244444,0.465619444,0.369069444,2.084633333,0.533627778,0.631383333,0.368036111,0.647008333,0.424780556,2.0712,0.567436111,0.516355556,0.62235,1.138705556,0.580047222,0.664880556,0.587436111,0.6819,0.520622222,0.479630556,2.934469444,0.685469444,8.229019444,0.609786111,11.17222222,30.9,59.1,45.8,39.5,58.8,16,4028977,2.5,49792,0.902,0.323,0.122,45.46,46,13,9,15,51.73,47.62,7,14,57.06,33,4,18,59.79,25,33,29,48.4,17.8,6.9,0.05,5,2.85,40,625,13.2,13,-0.3,0.11980474,0.050829487,0.097694488,61025.75,0.126,0.091,4.7375,48.2225,2.59,0.10375,25.815,20.74,22.1825,13.5425,28.5175,-0.277,-0.10775,62.5,0.4583,11.9,30.07,67.53,12,21,2520,1990,1890,1490,640,500,0.48,0.07,0.22,0.16,0.01,0.07
Pennsylvania,PA,Pa,Harrisburg,40.590752,-77.209755,DE;MD;NJ;NY;OH;WV,3,1,2,12801989,12702379,0.0387,18,0,1,0,0,0,1,1,1,1,1,1,0,1,12.95223881,6.634328358,26685.95522,11.18955224,18.44626866,20.1358209,15.38059701,7.704477612,11.49850746,1.004477612,4.882089552,8.01641791,1.21641791,8.167164179,4.726865672,0.330323881,0.463674627,0.386595522,0.376508955,1.557108955,0.372719403,0.596197015,0.268104478,0.475855224,0.399919403,1.740077612,0.339058209,0.315759702,0.465602985,0.781359702,0.375919403,0.604550746,0.353904478,0.252610448,0.698928358,0.622297015,2.532291045,0.514268657,6.610847761,0.360086567,8.211940299,54.6,42.8,52.4,61.4,49.6,110,12802503,5.8,50418,0.899,0.301,0.118,42.81,15,28,28,27,39.36,47.91,9,7,55.63,24,23,1,58.04,9,27,46,48.8,14.7,5.8,0.05,1,2.83,60,621,12.5,14.8,2.3,0.031283049,0.117435417,0.110045403,47165.8,-0.6236,0.1144,4.944,46.8,2.948,-0.0552,42.3716,25.906,13.596,21.048,42.89,-0.5548,-0.333,62.3,0.4689,12,52.75,63.46,24,28,3640,2880,2880,2280,810,640,0.52,0.05,0.2,0.16,0.01,0.06
Rhode Island,RI,R.I,Providence,41.680893,-71.51178,CT;MA,1,1,1,1059361,1052567,0.0032,2,0,1,1,0,1,1,1,1,1,1,1,1,1,10.34,6.78,36781.6,9.68,17.54,19.28,12.6,7.82,15.22,2.24,9.18,1.28,1.08,7.62,4.38,0.19268,0.48964,0.07658,0.26544,1.0244,0.21796,0.52816,0.15384,0.24686,0.38544,1.31428,0.11856,0.43444,0.64228,1.07672,0.5402,0.8284,0.04652,0.2084,0.64566,0.68118,2.41018,0.44386,5.82558,0.25776,6.6,43.3,35.2,48.5,61.9,59.4,394,1056298,1.9,47118,0.873,0.33,0.131,43.54,45,15,11,30,41.06,23.39,47,35,49.86,28,47,4,56.15,39,21,46,50.1,11.2,6.7,0.06,3,2.96,52,613,11.6,13,1.4,0.145939335,0.128798529,0.126973867,44342,-0.741,0.145,4.59,44.84,3.84,-0.257,46.892,16.27,20.56,15.36,64.08,-0.152,-0.198,61.4,0.4781,4.1,43.23,55.15,50,31,2850,2290,2730,2200,370,290,0.52,0.05,0.23,0.14,0.01,0.04
South Carolina,SC,S.C.,Columbia,33.856892,-80.945007,GA;NC,4,3,5,5148714,4625364,0.0154,7,0,1,0,0,0,0,0,0,0,0,0,0,0,20.46304348,9.867391304,22105.91304,17.6326087,17.09782609,22.06521739,17.17173913,10.35217391,42.88913043,1.217391304,4.156521739,24.03478261,1.897826087,8.136956522,3.530434783,0.711028261,0.773154348,0.654421739,0.687284783,2.82588913,0.741569565,0.457215217,0.463097826,0.601252174,0.742615217,2.264173913,0.6644,0.801108696,0.540804348,1.341917391,0.702034783,0.476773913,0.802104348,0.475619565,0.687826087,0.537404348,2.979719565,0.701684783,9.411702174,0.77305,13.80434783,60,55.4,69.6,45.7,55.3,62,4896146,7.8,36796,0.865,0.27,0.098,46.84,36,18,19,8,34.57,41.35,14,29,57.83,22,9,41,59.49,38,42,21,62.4,15.7,6.6,0.05,2,2.99,82,623,15.4,14.6,-0.8,0.319390588,0.117852349,0.087043524,66834,0.117,0.1375,1.175,45.72,3.355,0.215,54.4695,25.035,14.4,19.375,40.695,-0.703,-0.295,62.3,0.4735,17.7,61.39,65.1,32,14,1770,1380,940,740,820,640,0.45,0.06,0.19,0.16,0.02,0.1
